Temp,Conc
-1.255009e+00,1.539761e+00
-1.195036e+00,1.466249e+00
-1.141920e+00,1.517773e+00
-1.128995e+00,1.529827e+00
-1.206460e+00,1.484208e+00
-1.250844e+00,1.480256e+00
-1.192976e+00,1.499054e+00
-1.204053e+00,1.458328e+00
-1.126941e+00,1.477273e+00
-1.185371e+00,1.476423e+00
-1.146602e+00,1.548409e+00
-1.126019e+00,1.530538e+00
-1.133984e+00,1.480209e+00
-1.172486e+00,1.546920e+00
-1.164901e+00,1.554337e+00
-1.207149e+00,1.452323e+00
-1.222275e+00,1.466936e+00
-1.183821e+00,1.518396e+00
-1.128067e+00,1.499864e+00
-1.228821e+00,1.542745e+00
-1.101395e+00,1.529256e+00
-1.127069e+00,1.498725e+00
-1.192283e+00,1.492913e+00
-1.178481e+00,1.571088e+00
-1.162843e+00,1.506689e+00
-1.180870e+00,1.488018e+00
-1.190097e+00,1.477416e+00
-1.157335e+00,1.478882e+00
-1.193806e+00,1.562561e+00
-1.119234e+00,1.469634e+00
-1.197430e+00,1.509559e+00
-1.144307e+00,1.516084e+00
-1.190921e+00,1.547532e+00
-1.149529e+00,1.530944e+00
-1.167566e+00,1.464357e+00
-1.241480e+00,1.549639e+00
-1.146975e+00,1.538664e+00
-1.221773e+00,1.508104e+00
-1.240553e+00,1.478970e+00
-1.243266e+00,1.545813e+00
-1.085314e+00,1.505191e+00
-1.152108e+00,1.478727e+00
-1.206736e+00,1.562327e+00
-1.155884e+00,1.563686e+00
-1.189202e+00,1.495214e+00
-1.179813e+00,1.484842e+00
-1.239369e+00,1.461312e+00
-1.181574e+00,1.472961e+00
-1.092982e+00,1.485193e+00
-1.113919e+00,1.481952e+00
-1.139723e+00,1.477238e+00
-1.214436e+00,1.457068e+00
-1.110404e+00,1.528969e+00
-1.153866e+00,1.505953e+00
-1.255418e+00,1.475015e+00
-1.191648e+00,1.506308e+00
-1.149406e+00,1.489758e+00
-1.167911e+00,1.510416e+00
-1.160394e+00,1.517184e+00
-1.240101e+00,1.470568e+00
-1.151133e+00,1.568466e+00
-1.105755e+00,1.541246e+00
-1.138736e+00,1.507042e+00
